year,seas,fleet,catch,catch se
-999,1,1,0,0.05
-999,2,1,0,0.01
-999,3,1,0,0.01
-999,4,1,0,0.01
#1975,1,1,0,0.01
#1975,2,1,0,0.01
#1975,3,1,0,0.01
#1975,4,1,0,0.01
#1976,1,1,0,0.01
#1976,2,1,0,0.01
#1976,3,1,0,0.01
#1976,4,1,0,0.01
1977,1,1,0,0.01
1977,2,1,0,0.01
1977,3,1,0,0.01
1977,4,1,0,0.01
1978,1,1,0,0.01
1978,2,1,0,0.01
1978,3,1,0,0.01
1978,4,1,0,0.01
1979,1,1,0,0.01
1979,2,1,0,0.01
1979,3,1,0,0.01
1979,4,1,0,0.01
1980,1,1,0,0.01
1980,2,1,0,0.01
1980,3,1,0,0.01
1980,4,1,0,0.01
1981,1,1,0,0.01
1981,2,1,0,0.01
1981,3,1,0,0.01
1981,4,1,0,0.01
1982,1,1,0,0.01
1982,2,1,0,0.01
1982,3,1,0,0.01
1982,4,1,0,0.01
1983,1,1,0,0.01
1983,2,1,0,0.01
1983,3,1,0,0.01
1983,4,1,0,0.01
1984,1,1,0,0.01
1984,2,1,0,0.01
1984,3,1,0,0.01
1984,4,1,0,0.01
1985,1,1,0,0.01
1985,2,1,0,0.01
1985,3,1,0,0.01
1985,4,1,0,0.01
1986,1,1,0,0.01
1986,2,1,0,0.01
1986,3,1,0,0.01
1986,4,1,0,0.01
1987,1,1,0,0.01
1987,2,1,0,0.01
1987,3,1,0,0.01
1987,4,1,0,0.01
1988,1,1,0,0.01
1988,2,1,0,0.01
1988,3,1,0,0.01
1988,4,1,0,0.01
1989,1,1,0,0.01
1989,2,1,0,0.01
1989,3,1,0,0.01
1989,4,1,0,0.01
1990,1,1,0,0.01
1990,2,1,0,0.01
1990,3,1,0,0.01
1990,4,1,0,0.01
1991,1,1,0,0.01
1991,2,1,0,0.01
1991,3,1,0,0.01
1991,4,1,0,0.01
1992,1,1,0,0.01
1992,2,1,0,0.01
1992,3,1,0,0.01
1992,4,1,0,0.01
1993,1,1,0,0.01
1993,2,1,0,0.01
1993,3,1,0,0.01
1993,4,1,0,0.01
1994,1,1,2.04,0.05
1994,2,1,0,0.01
1994,3,1,0,0.01
1994,4,1,0,0.01
1995,1,1,2.3,0.05
1995,2,1,0,0.01
1995,3,1,0,0.01
1995,4,1,0,0.01
1996,1,1,2.34,0.05
1996,2,1,0,0.01
1996,3,1,0,0.01
1996,4,1,0,0.01
1997,1,1,2.67,0.05
1997,2,1,0,0.01
1997,3,1,0,0.01
1997,4,1,0,0.01
1998,1,1,2.27,0.05
1998,2,1,0,0.01
1998,3,1,0,0.01
1998,4,1,0,0.01
1999,1,1,3.1,0.05
1999,2,1,0,0.01
1999,3,1,0,0.01
1999,4,1,0,0.01
2000,1,1,0.98,0.05
2000,2,1,0,0.01
2000,3,1,0,0.01
2000,4,1,0,0.01
2001,1,1,1.1,0.05
2001,2,1,0,0.01
2001,3,1,0,0.01
2001,4,1,0,0.01
2002,1,1,1.07,0.05
2002,2,1,0,0.01
2002,3,1,0,0.01
2002,4,1,0,0.01
2003,1,1,1.14,0.05
2003,2,1,0,0.01
2003,3,1,0,0.01
2003,4,1,0,0.01
2004,1,1,2.7,0.05
2004,2,1,0,0.01
2004,3,1,0,0.01
2004,4,1,0,0.01
2005,1,1,1.87,0.05
2005,2,1,0,0.01
2005,3,1,0,0.01
2005,4,1,0,0.01
2006,1,1,1.23,0.05
2006,2,1,0,0.01
2006,3,1,0,0.01
2006,4,1,0,0.01
2007,1,1,2.14,0.05
2007,2,1,0,0.01
2007,3,1,0,0.01
2007,4,1,0,0.01
2008,1,1,2.87,0.05
2008,2,1,0,0.01
2008,3,1,0,0.01
2008,4,1,0,0.01
2009,1,1,2.33,0.05
2009,2,1,0,0.01
2009,3,1,0,0.01
2009,4,1,0,0.01
2010,1,1,2.98,0.05
2010,2,1,0,0.01
2010,3,1,0,0.01
2010,4,1,0,0.01
2011,1,1,1.99,0.05
2011,2,1,0,0.01
2011,3,1,0,0.01
2011,4,1,0,0.01
2012,1,1,3.1,0.05
2012,2,1,0,0.01
2012,3,1,0,0.01
2012,4,1,0,0.01
2013,1,1,3.91,0.05
2013,2,1,0,0.01
2013,3,1,0,0.01
2013,4,1,0,0.01
2014,1,1,2.6,0.05
2014,2,1,0,0.01
2014,3,1,0,0.01
2014,4,1,0,0.01
2015,1,1,2.27,0.05
2015,2,1,0,0.01
2015,3,1,0,0.01
2015,4,1,0,0.01
2016,1,1,3.77,0.05
2016,2,1,0,0.01
2016,3,1,0,0.01
2016,4,1,0,0.01
2017,1,1,3.53,0.05
2017,2,1,0,0.01
2017,3,1,0,0.01
2017,4,1,0,0.01
2018,1,1,2.42,0.05
2018,2,1,0,0.01
2018,3,1,0,0.01
2018,4,1,0,0.01
2019,1,1,3.37,0.05
2019,2,1,0,0.01
2019,3,1,0,0.01
2019,4,1,0,0.01
2020,1,1,7.42,0.05
2020,2,1,0,0.01
2020,3,1,0,0.01
2020,4,1,0,0.01
-999,1,2,0,0.05
-999,2,2,0,0.01
-999,3,2,0,0.01
-999,4,2,0,0.01
#1975,1,2,8.1,0.05
#1975,2,2,0,0.01
#1975,3,2,0,0.01
#1975,4,2,0,0.01
#1976,1,2,10.44,0.05
#1976,2,2,0,0.01
#1976,3,2,0,0.01
#1976,4,2,0,0.01
1977,1,2,8,0.05
1977,2,2,0,0.01
1977,3,2,0,0.01
1977,4,2,0,0.01
1978,1,2,6.69,0.05
1978,2,2,0,0.01
1978,3,2,0,0.01
1978,4,2,0,0.01
1979,1,2,11.68,0.05
1979,2,2,0,0.01
1979,3,2,0,0.01
1979,4,2,0,0.01
1980,1,2,14.35,0.05
1980,2,2,0,0.01
1980,3,2,0,0.01
1980,4,2,0,0.01
1981,1,2,10.27,0.05
1981,2,2,0,0.01
1981,3,2,0,0.01
1981,4,2,0,0.01
1982,1,2,8.46,0.05
1982,2,2,0,0.01
1982,3,2,0,0.01
1982,4,2,0,0.01
1983,1,2,5.73,0.05
1983,2,2,0,0.01
1983,3,2,0,0.01
1983,4,2,0,0.01
1984,1,2,8.8,0.05
1984,2,2,0,0.01
1984,3,2,0,0.01
1984,4,2,0,0.01
1985,1,2,9.22,0.05
1985,2,2,0,0.01
1985,3,2,0,0.01
1985,4,2,0,0.01
1986,1,2,17.7,0.05
1986,2,2,0,0.01
1986,3,2,0,0.01
1986,4,2,0,0.01
1987,1,2,8.61,0.05
1987,2,2,0,0.01
1987,3,2,0,0.01
1987,4,2,0,0.01
1988,1,2,9.42,0.05
1988,2,2,0,0.01
1988,3,2,0,0.01
1988,4,2,0,0.01
1989,1,2,7.79,0.05
1989,2,2,0,0.01
1989,3,2,0,0.01
1989,4,2,0,0.01
1990,1,2,4.77,0.05
1990,2,2,0,0.01
1990,3,2,0,0.01
1990,4,2,0,0.01
1991,1,2,6.82,0.05
1991,2,2,0,0.01
1991,3,2,0,0.01
1991,4,2,0,0.01
1992,1,2,4.31,0.05
1992,2,2,0,0.01
1992,3,2,0,0.01
1992,4,2,0,0.01
1993,1,2,7.68,0.05
1993,2,2,0,0.01
1993,3,2,0,0.01
1993,4,2,0,0.01
1994,1,2,6.98,0.05
1994,2,2,0,0.01
1994,3,2,0,0.01
1994,4,2,0,0.01
1995,1,2,7.47,0.05
1995,2,2,0,0.01
1995,3,2,0,0.01
1995,4,2,0,0.01
1996,1,2,6.05,0.05
1996,2,2,0,0.01
1996,3,2,0,0.01
1996,4,2,0,0.01
1997,1,2,6.03,0.05
1997,2,2,0,0.01
1997,3,2,0,0.01
1997,4,2,0,0.01
1998,1,2,5.88,0.05
1998,2,2,0,0.01
1998,3,2,0,0.01
1998,4,2,0,0.01
1999,1,2,5.73,0.05
1999,2,2,0,0.01
1999,3,2,0,0.01
1999,4,2,0,0.01
2000,1,2,4.75,0.05
2000,2,2,0,0.01
2000,3,2,0,0.01
2000,4,2,0,0.01
2001,1,2,5.39,0.05
2001,2,2,0,0.01
2001,3,2,0,0.01
2001,4,2,0,0.01
2002,1,2,5.75,0.05
2002,2,2,0,0.01
2002,3,2,0,0.01
2002,4,2,0,0.01
2003,1,2,6.31,0.05
2003,2,2,0,0.01
2003,3,2,0,0.01
2003,4,2,0,0.01
2004,1,2,4.89,0.05
2004,2,2,0,0.01
2004,3,2,0,0.01
2004,4,2,0,0.01
2005,1,2,2.58,0.05
2005,2,2,0,0.01
2005,3,2,0,0.01
2005,4,2,0,0.01
2006,1,2,2.33,0.05
2006,2,2,0,0.01
2006,3,2,0,0.01
2006,4,2,0,0.01
2007,1,2,1.99,0.05
2007,2,2,0,0.01
2007,3,2,0,0.01
2007,4,2,0,0.01
2008,1,2,2.49,0.05
2008,2,2,0,0.01
2008,3,2,0,0.01
2008,4,2,0,0.01
2009,1,2,1.51,0.05
2009,2,2,0,0.01
2009,3,2,0,0.01
2009,4,2,0,0.01
2010,1,2,2.56,0.05
2010,2,2,0,0.01
2010,3,2,0,0.01
2010,4,2,0,0.01
2011,1,2,7.2,0.05
2011,2,2,0,0.01
2011,3,2,0,0.01
2011,4,2,0,0.01
2012,1,2,6.45,0.05
2012,2,2,0,0.01
2012,3,2,0,0.01
2012,4,2,0,0.01
2013,1,2,4.4,0.05
2013,2,2,0,0.01
2013,3,2,0,0.01
2013,4,2,0,0.01
2014,1,2,3.21,0.05
2014,2,2,0,0.01
2014,3,2,0,0.01
2014,4,2,0,0.01
2015,1,2,5.95,0.05
2015,2,2,0,0.01
2015,3,2,0,0.01
2015,4,2,0,0.01
2016,1,2,1.68,0.05
2016,2,2,0,0.01
2016,3,2,0,0.01
2016,4,2,0,0.01
2017,1,2,1.86,0.05
2017,2,2,0,0.01
2017,3,2,0,0.01
2017,4,2,0,0.01
2018,1,2,1.95,0.05
2018,2,2,0,0.01
2018,3,2,0,0.01
2018,4,2,0,0.01
2019,1,2,2.71,0.05
2019,2,2,0,0.01
2019,3,2,0,0.01
2019,4,2,0,0.01
2020,1,2,2.9,0.05
2020,2,2,0,0.01
2020,3,2,0,0.01
2020,4,2,0,0.01
-999,1,3,0,0.05
-999,2,3,0,0.01
-999,3,3,0,0.01
-999,4,3,0,0.01
#1975,1,3,8.63,0.05
#1975,2,3,0,0.01
#1975,3,3,0,0.01
#1975,4,3,0,0.01
#1976,1,3,6.64,0.05
#1976,2,3,0,0.01
#1976,3,3,0,0.01
#1976,4,3,0,0.01
1977,1,3,4.01,0.05
1977,2,3,0,0.01
1977,3,3,0,0.01
1977,4,3,0,0.01
1978,1,3,3.31,0.05
1978,2,3,0,0.01
1978,3,3,0,0.01
1978,4,3,0,0.01
1979,1,3,11.83,0.05
1979,2,3,0,0.01
1979,3,3,0,0.01
1979,4,3,0,0.01
1980,1,3,21.48,0.05
1980,2,3,0,0.01
1980,3,3,0,0.01
1980,4,3,0,0.01
1981,1,3,10.84,0.05
1981,2,3,0,0.01
1981,3,3,0,0.01
1981,4,3,0,0.01
1982,1,3,10.55,0.05
1982,2,3,0,0.01
1982,3,3,0,0.01
1982,4,3,0,0.01
1983,1,3,4.75,0.05
1983,2,3,0,0.01
1983,3,3,0,0.01
1983,4,3,0,0.01
1984,1,3,4.28,0.05
1984,2,3,0,0.01
1984,3,3,0,0.01
1984,4,3,0,0.01
1985,1,3,8.27,0.05
1985,2,3,0,0.01
1985,3,3,0,0.01
1985,4,3,0,0.01
1986,1,3,16.38,0.05
1986,2,3,0,0.01
1986,3,3,0,0.01
1986,4,3,0,0.01
1987,1,3,7.81,0.05
1987,2,3,0,0.01
1987,3,3,0,0.01
1987,4,3,0,0.01
1988,1,3,26.84,0.05
1988,2,3,0,0.01
1988,3,3,0,0.01
1988,4,3,0,0.01
1989,1,3,14.45,0.05
1989,2,3,0,0.01
1989,3,3,0,0.01
1989,4,3,0,0.01
1990,1,3,9.56,0.05
1990,2,3,0,0.01
1990,3,3,0,0.01
1990,4,3,0,0.01
1991,1,3,14.06,0.05
1991,2,3,0,0.01
1991,3,3,0,0.01
1991,4,3,0,0.01
1992,1,3,11.27,0.05
1992,2,3,0,0.01
1992,3,3,0,0.01
1992,4,3,0,0.01
1993,1,3,16.81,0.05
1993,2,3,0,0.01
1993,3,3,0,0.01
1993,4,3,0,0.01
1994,1,3,11.96,0.05
1994,2,3,0,0.01
1994,3,3,0,0.01
1994,4,3,0,0.01
1995,1,3,9.4,0.05
1995,2,3,0,0.01
1995,3,3,0,0.01
1995,4,3,0,0.01
1996,1,3,8.39,0.05
1996,2,3,0,0.01
1996,3,3,0,0.01
1996,4,3,0,0.01
1997,1,3,8.13,0.05
1997,2,3,0,0.01
1997,3,3,0,0.01
1997,4,3,0,0.01
1998,1,3,4.69,0.05
1998,2,3,0,0.01
1998,3,3,0,0.01
1998,4,3,0,0.01
1999,1,3,7.67,0.05
1999,2,3,0,0.01
1999,3,3,0,0.01
1999,4,3,0,0.01
2000,1,3,6,0.05
2000,2,3,0,0.01
2000,3,3,0,0.01
2000,4,3,0,0.01
2001,1,3,5.96,0.05
2001,2,3,0,0.01
2001,3,3,0,0.01
2001,4,3,0,0.01
2002,1,3,3.81,0.05
2002,2,3,0,0.01
2002,3,3,0,0.01
2002,4,3,0,0.01
2003,1,3,7.38,0.05
2003,2,3,0,0.01
2003,3,3,0,0.01
2003,4,3,0,0.01
2004,1,3,4.68,0.05
2004,2,3,0,0.01
2004,3,3,0,0.01
2004,4,3,0,0.01
2005,1,3,2.19,0.05
2005,2,3,0,0.01
2005,3,3,0,0.01
2005,4,3,0,0.01
2006,1,3,1.99,0.05
2006,2,3,0,0.01
2006,3,3,0,0.01
2006,4,3,0,0.01
2007,1,3,1.73,0.05
2007,2,3,0,0.01
2007,3,3,0,0.01
2007,4,3,0,0.01
2008,1,3,1.61,0.05
2008,2,3,0,0.01
2008,3,3,0,0.01
2008,4,3,0,0.01
2009,1,3,1.68,0.05
2009,2,3,0,0.01
2009,3,3,0,0.01
2009,4,3,0,0.01
2010,1,3,0.93,0.05
2010,2,3,0,0.01
2010,3,3,0,0.01
2010,4,3,0,0.01
2011,1,3,2.58,0.05
2011,2,3,0,0.01
2011,3,3,0,0.01
2011,4,3,0,0.01
2012,1,3,4.02,0.05
2012,2,3,0,0.01
2012,3,3,0,0.01
2012,4,3,0,0.01
2013,1,3,2.26,0.05
2013,2,3,0,0.01
2013,3,3,0,0.01
2013,4,3,0,0.01
2014,1,3,3.82,0.05
2014,2,3,0,0.01
2014,3,3,0,0.01
2014,4,3,0,0.01
2015,1,3,3.21,0.05
2015,2,3,0,0.01
2015,3,3,0,0.01
2015,4,3,0,0.01
2016,1,3,0.84,0.05
2016,2,3,0,0.01
2016,3,3,0,0.01
2016,4,3,0,0.01
2017,1,3,1.49,0.05
2017,2,3,0,0.01
2017,3,3,0,0.01
2017,4,3,0,0.01
2018,1,3,1.04,0.05
2018,2,3,0,0.01
2018,3,3,0,0.01
2018,4,3,0,0.01
2019,1,3,1.07,0.05
2019,2,3,0,0.01
2019,3,3,0,0.01
2019,4,3,0,0.01
2020,1,3,0.57,0.05
2020,2,3,0,0.01
2020,3,3,0,0.01
2020,4,3,0,0.01
-999,1,4,0,0.01
-999,2,4,0.001,0.05
-999,3,4,0,0.01
-999,4,4,0,0.01
#1975,1,4,0,0.01
#1975,2,4,12.34,0.05
#1975,3,4,0,0.01
#1975,4,4,0,0.01
#1976,1,4,0,0.01
#1976,2,4,11.14,0.05
#1976,3,4,0,0.01
#1976,4,4,0,0.01
1977,1,4,0,0.01
1977,2,4,8.7,0.05
1977,3,4,0,0.01
1977,4,4,0,0.01
1978,1,4,0,0.01
1978,2,4,13.24,0.05
1978,3,4,0,0.01
1978,4,4,0,0.01
1979,1,4,0,0.01
1979,2,4,32.83,0.05
1979,3,4,0,0.01
1979,4,4,0,0.01
1980,1,4,0,0.01
1980,2,4,22.55,0.05
1980,3,4,0,0.01
1980,4,4,0,0.01
1981,1,4,0,0.01
1981,2,4,14.69,0.05
1981,3,4,0,0.01
1981,4,4,0,0.01
1982,1,4,0,0.01
1982,2,4,12.4,0.05
1982,3,4,0,0.01
1982,4,4,0,0.01
1983,1,4,0,0.01
1983,2,4,11.17,0.05
1983,3,4,0,0.01
1983,4,4,0,0.01
1984,1,4,0,0.01
1984,2,4,13.69,0.05
1984,3,4,0,0.01
1984,4,4,0,0.01
1985,1,4,0,0.01
1985,2,4,35.28,0.05
1985,3,4,0,0.01
1985,4,4,0,0.01
1986,1,4,0,0.01
1986,2,4,48,0.05
1986,3,4,0,0.01
1986,4,4,0,0.01
1987,1,4,0,0.01
1987,2,4,25.58,0.05
1987,3,4,0,0.01
1987,4,4,0,0.01
1988,1,4,0,0.01
1988,2,4,43.43,0.05
1988,3,4,0,0.01
1988,4,4,0,0.01
1989,1,4,0,0.01
1989,2,4,29.44,0.05
1989,3,4,0,0.01
1989,4,4,0,0.01
1990,1,4,0,0.01
1990,2,4,17,0.05
1990,3,4,0,0.01
1990,4,4,0,0.01
1991,1,4,0,0.01
1991,2,4,24.03,0.05
1991,3,4,0,0.01
1991,4,4,0,0.01
1992,1,4,0,0.01
1992,2,4,23.63,0.05
1992,3,4,0,0.01
1992,4,4,0,0.01
1993,1,4,0,0.01
1993,2,4,28.85,0.05
1993,3,4,0,0.01
1993,4,4,0,0.01
1994,1,4,0,0.01
1994,2,4,28.39,0.05
1994,3,4,0,0.01
1994,4,4,0,0.01
1995,1,4,0,0.01
1995,2,4,25.46,0.05
1995,3,4,0,0.01
1995,4,4,0,0.01
1996,1,4,0,0.01
1996,2,4,30.28,0.05
1996,3,4,0,0.01
1996,4,4,0,0.01
1997,1,4,0,0.01
1997,2,4,22.61,0.05
1997,3,4,0,0.01
1997,4,4,0,0.01
1998,1,4,0,0.01
1998,2,4,31.95,0.05
1998,3,4,0,0.01
1998,4,4,0,0.01
1999,1,4,0,0.01
1999,2,4,20.97,0.05
1999,3,4,0,0.01
1999,4,4,0,0.01
2000,1,4,0,0.01
2000,2,4,9.02,0.05
2000,3,4,0,0.01
2000,4,4,0,0.01
2001,1,4,0,0.01
2001,2,4,10.03,0.05
2001,3,4,0,0.01
2001,4,4,0,0.01
2002,1,4,0,0.01
2002,2,4,11.78,0.05
2002,3,4,0,0.01
2002,4,4,0,0.01
2003,1,4,0,0.01
2003,2,4,9.78,0.05
2003,3,4,0,0.01
2003,4,4,0,0.01
2004,1,4,0,0.01
2004,2,4,7.87,0.05
2004,3,4,0,0.01
2004,4,4,0,0.01
2005,1,4,0,0.01
2005,2,4,6.76,0.05
2005,3,4,0,0.01
2005,4,4,0,0.01
2006,1,4,0,0.01
2006,2,4,6.48,0.05
2006,3,4,0,0.01
2006,4,4,0,0.01
2007,1,4,0,0.01
2007,2,4,5.29,0.05
2007,3,4,0,0.01
2007,4,4,0,0.01
2008,1,4,0,0.01
2008,2,4,4.7,0.05
2008,3,4,0,0.01
2008,4,4,0,0.01
2009,1,4,0,0.01
2009,2,4,3.54,0.05
2009,3,4,0,0.01
2009,4,4,0,0.01
2010,1,4,0,0.01
2010,2,4,8.15,0.05
2010,3,4,0,0.01
2010,4,4,0,0.01
2011,1,4,0,0.01
2011,2,4,4.16,0.05
2011,3,4,0,0.01
2011,4,4,0,0.01
2012,1,4,0,0.01
2012,2,4,9.45,0.05
2012,3,4,0,0.01
2012,4,4,0,0.01
2013,1,4,0,0.01
2013,2,4,12.78,0.05
2013,3,4,0,0.01
2013,4,4,0,0.01
2014,1,4,0,0.01
2014,2,4,6.13,0.05
2014,3,4,0,0.01
2014,4,4,0,0.01
2015,1,4,0,0.01
2015,2,4,11.73,0.05
2015,3,4,0,0.01
2015,4,4,0,0.01
2016,1,4,0,0.01
2016,2,4,5.75,0.05
2016,3,4,0,0.01
2016,4,4,0,0.01
2017,1,4,0,0.01
2017,2,4,4.65,0.05
2017,3,4,0,0.01
2017,4,4,0,0.01
2018,1,4,0,0.01
2018,2,4,3.87,0.05
2018,3,4,0,0.01
2018,4,4,0,0.01
2019,1,4,0,0.01
2019,2,4,8.36,0.05
2019,3,4,0,0.01
2019,4,4,0,0.01
2020,1,4,0,0.01
2020,2,4,5.58,0.05
2020,3,4,0,0.01
2020,4,4,0,0.01
-999,1,5,0,0.01
-999,2,5,0,0.01
-999,3,5,0,0.05
-999,4,5,0,0.01
#1975,1,5,0,0.01
#1975,2,5,0,0.01
#1975,3,5,0,0.01
#1975,4,5,0,0.01
#1976,1,5,0,0.01
#1976,2,5,0,0.01
#1976,3,5,0,0.01
#1976,4,5,0,0.01
1977,1,5,0,0.01
1977,2,5,0,0.01
1977,3,5,0,0.01
1977,4,5,0,0.01
1978,1,5,0,0.01
1978,2,5,0,0.01
1978,3,5,0,0.01
1978,4,5,0,0.01
1979,1,5,0,0.01
1979,2,5,0,0.01
1979,3,5,0,0.01
1979,4,5,0,0.01
1980,1,5,0,0.01
1980,2,5,0,0.01
1980,3,5,0,0.01
1980,4,5,0,0.01
1981,1,5,0,0.01
1981,2,5,0,0.01
1981,3,5,0,0.01
1981,4,5,0,0.01
1982,1,5,0,0.01
1982,2,5,0,0.01
1982,3,5,0,0.01
1982,4,5,0,0.01
1983,1,5,0,0.01
1983,2,5,0,0.01
1983,3,5,0,0.01
1983,4,5,0,0.01
1984,1,5,0,0.01
1984,2,5,0,0.01
1984,3,5,0,0.01
1984,4,5,0,0.01
1985,1,5,0,0.01
1985,2,5,0,0.01
1985,3,5,0,0.01
1985,4,5,0,0.01
1986,1,5,0,0.01
1986,2,5,0,0.01
1986,3,5,0,0.01
1986,4,5,0,0.01
1987,1,5,0,0.01
1987,2,5,0,0.01
1987,3,5,0,0.01
1987,4,5,0,0.01
1988,1,5,0,0.01
1988,2,5,0,0.01
1988,3,5,0,0.01
1988,4,5,0,0.01
1989,1,5,0,0.01
1989,2,5,0,0.01
1989,3,5,0,0.01
1989,4,5,0,0.01
1990,1,5,0,0.01
1990,2,5,0,0.01
1990,3,5,0,0.01
1990,4,5,0,0.01
1991,1,5,0,0.01
1991,2,5,0,0.01
1991,3,5,0,0.01
1991,4,5,0,0.01
1992,1,5,0,0.01
1992,2,5,0,0.01
1992,3,5,0,0.01
1992,4,5,0,0.01
1993,1,5,0,0.01
1993,2,5,0,0.01
1993,3,5,0,0.01
1993,4,5,0,0.01
1994,1,5,0,0.01
1994,2,5,0,0.01
1994,3,5,10.16,0.05
1994,4,5,0,0.01
1995,1,5,0,0.01
1995,2,5,0,0.01
1995,3,5,22.73,0.05
1995,4,5,0,0.01
1996,1,5,0,0.01
1996,2,5,0,0.01
1996,3,5,8.01,0.05
1996,4,5,0,0.01
1997,1,5,0,0.01
1997,2,5,0,0.01
1997,3,5,8.79,0.05
1997,4,5,0,0.01
1998,1,5,0,0.01
1998,2,5,0,0.01
1998,3,5,19.52,0.05
1998,4,5,0,0.01
1999,1,5,0,0.01
1999,2,5,0,0.01
1999,3,5,8.63,0.05
1999,4,5,0,0.01
2000,1,5,0,0.01
2000,2,5,0,0.01
2000,3,5,8.75,0.05
2000,4,5,0,0.01
2001,1,5,0,0.01
2001,2,5,0,0.01
2001,3,5,15.31,0.05
2001,4,5,0,0.01
2002,1,5,0,0.01
2002,2,5,0,0.01
2002,3,5,7.46,0.05
2002,4,5,0,0.01
2003,1,5,0,0.01
2003,2,5,0,0.01
2003,3,5,8.17,0.05
2003,4,5,0,0.01
2004,1,5,0,0.01
2004,2,5,0,0.01
2004,3,5,6.61,0.05
2004,4,5,0,0.01
2005,1,5,0,0.01
2005,2,5,0,0.01
2005,3,5,3.74,0.05
2005,4,5,0,0.01
2006,1,5,0,0.01
2006,2,5,0,0.01
2006,3,5,4.42,0.05
2006,4,5,0,0.01
2007,1,5,0,0.01
2007,2,5,0,0.01
2007,3,5,4.05,0.05
2007,4,5,0,0.01
2008,1,5,0,0.01
2008,2,5,0,0.01
2008,3,5,3.22,0.05
2008,4,5,0,0.01
2009,1,5,0,0.01
2009,2,5,0,0.01
2009,3,5,3.28,0.05
2009,4,5,0,0.01
2010,1,5,0,0.01
2010,2,5,0,0.01
2010,3,5,2.56,0.05
2010,4,5,0,0.01
2011,1,5,0,0.01
2011,2,5,0,0.01
2011,3,5,6.4,0.05
2011,4,5,0,0.01
2012,1,5,0,0.01
2012,2,5,0,0.01
2012,3,5,2.55,0.05
2012,4,5,0,0.01
2013,1,5,0,0.01
2013,2,5,0,0.01
2013,3,5,1.84,0.05
2013,4,5,0,0.01
2014,1,5,0,0.01
2014,2,5,0,0.01
2014,3,5,3.72,0.05
2014,4,5,0,0.01
2015,1,5,0,0.01
2015,2,5,0,0.01
2015,3,5,1.98,0.05
2015,4,5,0,0.01
2016,1,5,0,0.01
2016,2,5,0,0.01
2016,3,5,2.37,0.05
2016,4,5,0,0.01
2017,1,5,0,0.01
2017,2,5,0,0.01
2017,3,5,1.35,0.05
2017,4,5,0,0.01
2018,1,5,0,0.01
2018,2,5,0,0.01
2018,3,5,1.34,0.05
2018,4,5,0,0.01
2019,1,5,0,0.01
2019,2,5,0,0.01
2019,3,5,3.9,0.05
2019,4,5,0,0.01
2020,1,5,0,0.01
2020,2,5,0,0.01
2020,3,5,1.9,0.05
2020,4,5,0,0.01
-999,1,6,0,0.01
-999,2,6,0,0.01
-999,3,6,0,0.01
-999,4,6,0,0.05
#1975,1,6,0,0.01
#1975,2,6,0,0.01
#1975,3,6,0,0.01
#1975,4,6,11.12,0.05
#1976,1,6,0,0.01
#1976,2,6,0,0.01
#1976,3,6,0,0.01
#1976,4,6,12.56,0.05
1977,1,6,0,0.01
1977,2,6,0,0.01
1977,3,6,0,0.01
1977,4,6,7.61,0.05
1978,1,6,0,0.01
1978,2,6,0,0.01
1978,3,6,0,0.01
1978,4,6,11.65,0.05
1979,1,6,0,0.01
1979,2,6,0,0.01
1979,3,6,0,0.01
1979,4,6,13.99,0.05
1980,1,6,0,0.01
1980,2,6,0,0.01
1980,3,6,0,0.01
1980,4,6,13.12,0.05
1981,1,6,0,0.01
1981,2,6,0,0.01
1981,3,6,0,0.01
1981,4,6,11.92,0.05
1982,1,6,0,0.01
1982,2,6,0,0.01
1982,3,6,0,0.01
1982,4,6,5.45,0.05
1983,1,6,0,0.01
1983,2,6,0,0.01
1983,3,6,0,0.01
1983,4,6,8.89,0.05
1984,1,6,0,0.01
1984,2,6,0,0.01
1984,3,6,0,0.01
1984,4,6,17.97,0.05
1985,1,6,0,0.01
1985,2,6,0,0.01
1985,3,6,0,0.01
1985,4,6,10.39,0.05
1986,1,6,0,0.01
1986,2,6,0,0.01
1986,3,6,0,0.01
1986,4,6,16.05,0.05
1987,1,6,0,0.01
1987,2,6,0,0.01
1987,3,6,0,0.01
1987,4,6,15.93,0.05
1988,1,6,0,0.01
1988,2,6,0,0.01
1988,3,6,0,0.01
1988,4,6,23.91,0.05
1989,1,6,0,0.01
1989,2,6,0,0.01
1989,3,6,0,0.01
1989,4,6,12.01,0.05
1990,1,6,0,0.01
1990,2,6,0,0.01
1990,3,6,0,0.01
1990,4,6,7.59,0.05
1991,1,6,0,0.01
1991,2,6,0,0.01
1991,3,6,0,0.01
1991,4,6,12.35,0.05
1992,1,6,0,0.01
1992,2,6,0,0.01
1992,3,6,0,0.01
1992,4,6,8.77,0.05
